seed,config,model,dataset,params,active_params,n_layer,n_embd,n_head,seq_len,steps,batch_size
42,medium,native,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
42,medium,param_matched,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
42,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
43,medium,native,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
43,medium,param_matched,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
43,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
44,medium,native,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
44,medium,param_matched,tiny_shakespeare,4882432,4882432,6,256,8,256,1000,8
44,medium,deepseekv4,tiny_shakespeare,12242456,4951576,6,256,8,256,1000,8
42,medium,native,wikitext2,4882432,4882432,6,256,8,256,1000,8
42,medium,param_matched,wikitext2,4882432,4882432,6,256,8,256,1000,8
42,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
43,medium,native,wikitext2,4882432,4882432,6,256,8,256,1000,8
43,medium,param_matched,wikitext2,4882432,4882432,6,256,8,256,1000,8
43,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
44,medium,native,wikitext2,4882432,4882432,6,256,8,256,1000,8
44,medium,param_matched,wikitext2,4882432,4882432,6,256,8,256,1000,8
44,medium,deepseekv4,wikitext2,12242456,4951576,6,256,8,256,1000,8
